sample_name	therapy_name
ACH-000429	LDN-193189
ACH-000429	LFM-A13
ACH-000429	PD173074
ACH-000429	Pazopanib
ACH-000429	WH-4-023
ACH-000429	XAV939
ACH-000528	Acetalax
ACH-000528	Bryostatin 1
ACH-000528	Dihydrorotenone
ACH-000528	Elesclomol
ACH-000528	GW441756
ACH-000528	TANK_1366
ACH-000880	AST-1306
ACH-000880	AZD4877
ACH-000880	AZD8835
ACH-000880	Acetalax
ACH-000880	CI-1040
ACH-000880	Elesclomol
ACH-000880	GSK1059615
ACH-000880	GSK343
ACH-000880	IOX2
ACH-000880	PF-00299804
ACH-000880	Picolinici-acid
ACH-000880	Pilaralisib
ACH-000880	SCH772984
ACH-000880	Taselisib
ACH-000880	Ulixertinib
ACH-000880	VX-11e
ACH-000880	Voxtalisib
ACH-000269	CX-5461
ACH-000269	GSK343
ACH-000269	LIMK1 inhibitor BMS4
ACH-000269	PFI3
ACH-000269	Picolinici-acid
ACH-000940	AKT inhibitor VIII
ACH-000940	AZD1332
ACH-000940	AZD1480
ACH-000940	Brivanib, BMS-540215
ACH-000940	CD532
ACH-000940	GSK1059615
ACH-000940	LIMK1 inhibitor BMS4
ACH-000940	Linifanib
ACH-000940	MCT4_1422
ACH-000940	NSC-87877
ACH-000940	PFI-3
ACH-000940	Pazopanib
ACH-000940	Ponatinib
ACH-000940	Sabutoclax
ACH-000248	AKT inhibitor VIII
ACH-000248	AST-1306
ACH-000248	AZD5991
ACH-000248	Acetalax
ACH-000248	Afatinib
ACH-000248	Avagacestat
ACH-000248	BAM7
ACH-000248	CCT007093
ACH-000248	CI-1033
ACH-000248	CP724714
ACH-000248	GSK591
ACH-000248	Ibrutinib
ACH-000248	Lapatinib
ACH-000248	MCT4_1422
ACH-000248	MN-64
ACH-000248	PF-00299804
ACH-000248	Rapamycin
ACH-001016	AZD6094
ACH-001016	TGX221
ACH-001016	WH-4-023
ACH-000603	DMOG
ACH-000603	Veliparib
ACH-000802	Bicalutamide
ACH-000802	GSK650394
ACH-000802	JNK-9L
ACH-000802	MCT4_1422
ACH-000802	TANK_1366
ACH-000792	JNK Inhibitor VIII
ACH-000792	SL0101
ACH-000792	WIKI4
ACH-000191	(5Z)-7-Oxozeaenol
ACH-000191	CHIR-99021
ACH-000191	CI-1040
ACH-000191	GW441756
ACH-000191	JNK Inhibitor VIII
ACH-000191	Obatoclax Mesylate
ACH-000191	RAF_9304
ACH-000191	Refametinib
ACH-000191	SB590885
ACH-000191	Vismodegib
ACH-000191	XMD11-85h
ACH-000548	AST-1306
ACH-000548	WHI-P97
ACH-000536	AZD5991
ACH-000536	CZC24832
ACH-000536	Dihydrorotenone
ACH-000536	Fludarabine
ACH-000536	TAF1_5496
ACH-000927	AST-1306
ACH-000927	BAM7
ACH-000927	CI-1033
ACH-000927	CP724714
ACH-000927	PF-00299804
ACH-000927	Pelitinib
ACH-000288	Fludarabine
ACH-000288	IAP_7638
ACH-000535	AKT inhibitor VIII
ACH-000535	CHIR-99021
ACH-000535	IAP_7638
ACH-000009	AZD8186
ACH-000009	SB505124
ACH-000009	TGX221
ACH-000009	Vismodegib
ACH-000580	(5Z)-7-Oxozeaenol
ACH-000580	BPTES
ACH-000580	CI-1040
ACH-000580	Dabrafenib
ACH-000580	Embelin
ACH-000580	FH535
ACH-000580	Linifanib
ACH-000580	PD0325901
ACH-000580	PLX-4720
ACH-000580	RAF_9304
ACH-000580	Refametinib
ACH-000580	SB590885
ACH-000580	Selumetinib
ACH-000580	Tanespimycin
ACH-000210	GSK429286A
ACH-000210	Irinotecan
ACH-000210	Pemetrexed
ACH-000210	SB52334
ACH-000210	SGC0946
ACH-000210	Talazoparib
ACH-000210	XMD14-99
ACH-000433	Amuvatinib
ACH-000433	LFM-A13
ACH-000433	TANK_1366
ACH-000212	WEHI-539
ACH-000826	Cetuximab
ACH-000826	WHI-P97
ACH-000902	AT13148
ACH-000902	AZD5363
ACH-000902	Afuresertib
ACH-000902	BAM7
ACH-000902	Entinostat
ACH-000902	GSK690693
ACH-000902	Ipatasertib
ACH-000902	JQ1
ACH-000902	MK-2206
ACH-000902	Nutlin-3a (-)
ACH-000902	Rapamycin
ACH-000902	Taselisib
ACH-000902	Uprosertib
ACH-000142	AZD8835
ACH-000142	Alpelisib
ACH-000142	PI3Ka_4409
ACH-000142	Taselisib
ACH-000518	AZD8835
ACH-000518	AZD8931
ACH-000518	Dyrk1b_0191
ACH-000518	GSK1059615
ACH-000518	IOX2
ACH-000518	Taselisib
ACH-000457	AMG-319
ACH-000457	AZD1332
ACH-000457	AZD8186
ACH-000457	Bleomycin
ACH-000457	CHIR-99021
ACH-000457	Dasatinib
ACH-000457	Fludarabine
ACH-000457	LFM-A13
ACH-000457	Nutlin-3a (-)
ACH-000457	WIKI4
ACH-000174	NSC-87877
ACH-000516	AZD1332
ACH-000516	JNJ38877605
ACH-000857	Bleomycin
ACH-000857	NSC-87877
ACH-000392	AST-1306
ACH-000392	AZD8931
ACH-000392	CI-1033
ACH-000392	CP724714
ACH-000392	Ibrutinib
ACH-000392	PF-00299804
ACH-000264	AZ628
ACH-000264	Avagacestat
ACH-000264	CCT007093
ACH-000264	EHT-1864
ACH-000783	AZD5363
ACH-000783	AZD8186
ACH-000783	Acetalax
ACH-000783	Afuresertib
ACH-000783	Bicalutamide
ACH-000783	GDC0810
ACH-000783	Ipatasertib
ACH-000713	GSK1070916
ACH-000103	GW441756
ACH-000103	TANK_1366
ACH-000103	WIKI4
ACH-000354	Avagacestat
ACH-000107	GSK591
ACH-000107	UNC0642
ACH-000329	Bicalutamide
ACH-000329	PARP_0108
ACH-000329	Pazopanib
ACH-000329	SN-38
ACH-000963	AST-1306
ACH-000963	AZD3759
ACH-000963	Afatinib
ACH-000963	CI-1033
ACH-000963	Enzastaurin
ACH-000963	Erlotinib
ACH-000963	Gefitinib
ACH-000963	IRAK4_4710
ACH-000963	Lapatinib
ACH-000963	Osimertinib
ACH-000963	PF-00299804
ACH-000963	Pelitinib
ACH-000963	Sapitinib
ACH-000138	FMK
ACH-001023	AZ628
ACH-001023	Cediranib
ACH-001023	Etoposide
ACH-001023	FTI-277
ACH-001023	HG6-64-1
ACH-001023	IOX2
ACH-001023	Imatinib
ACH-001023	JAK1_3715
ACH-001023	JQ12
ACH-001023	Linifanib
ACH-001023	Midostaurin
ACH-001023	Motesanib
ACH-001023	Pazopanib
ACH-001023	Ponatinib
ACH-001023	Quizartinib
ACH-001023	Sunitinib
ACH-001023	Temsirolimus
ACH-001023	Tivozanib
ACH-000867	CCT007093
ACH-001024	AST-1306
ACH-001024	AZD8931
ACH-001024	BIBF-1120
ACH-001024	CI-1033
ACH-001024	CP724714
ACH-001024	FR-180204
ACH-001024	Lestaurtinib
ACH-001024	PF-00299804
ACH-001024	SB52334
ACH-001024	Selisistat
ACH-001024	WHI-P97
ACH-000249	CI-1040
ACH-000249	VX-11e
ACH-000249	rTRAIL
ACH-001039	AS605240
ACH-001039	Acetalax
ACH-001039	CAY10566
ACH-001039	ERK_6604
ACH-001039	LIMK1 inhibitor BMS4
ACH-001039	Linsitinib
ACH-001039	PF-562271
ACH-001039	PLX-4720
ACH-001039	Refametinib
ACH-001039	SB590885
ACH-001039	SCH772984
ACH-001039	Selumetinib
ACH-001039	Trametinib
ACH-001039	Ulixertinib
ACH-000803	Avagacestat
ACH-000803	ETP-45835
ACH-000803	Veliparib
ACH-000717	A-83-01
ACH-000864	Capivasertib
ACH-000864	GSK690693
ACH-000864	TL-2-105
ACH-000812	CHIR-99021
ACH-000812	SB590885
ACH-000812	UNC0642
ACH-000968	Amuvatinib
ACH-000968	EHT-1864
ACH-000968	Selisistat
ACH-000401	Bleomycin (10 uM)
ACH-000401	GSK1059615
ACH-000401	HG-5-88-01
ACH-000401	PARP_0108
ACH-000401	PARP_9482
ACH-000401	PARP_9495
ACH-000401	Pemetrexed
ACH-000401	Rucaparib
ACH-000401	ZG-10
ACH-000161	AZD3759
ACH-000161	Afatinib
ACH-000161	Alectinib
ACH-000161	Avagacestat
ACH-000161	Erlotinib
ACH-000161	FMK
ACH-000161	GW441756
ACH-000161	Gefitinib
ACH-000161	Ibrutinib
ACH-000161	Osimertinib
ACH-000161	Pelitinib
ACH-000161	SB52334
ACH-000161	Sapitinib
ACH-000161	WHI-P97
ACH-000257	GW-2580
ACH-000257	Olaparib
ACH-000257	PARP_0108
ACH-000257	PARP_9482
ACH-000257	Pemetrexed
ACH-000257	SN-38
ACH-000257	Selisistat
ACH-000257	Talazoparib
ACH-000187	AT-7519
ACH-000187	AT13148
ACH-000187	GSK429286A
ACH-000187	GSK690693
ACH-000187	MN-64
ACH-000187	TL-2-105
ACH-000187	WEHI-539
ACH-000187	XMD15-27
ACH-000508	PAC-1
ACH-000508	VX-702
ACH-001049	GDC0810
ACH-001049	WEHI-539
ACH-000055	A-83-01
ACH-000055	AZD2014
ACH-000055	AZD6738
ACH-000055	EPZ004777
ACH-000055	GSK343
ACH-000055	LIMK1 inhibitor BMS4
ACH-000055	LY2109761
ACH-000055	MCT1_6447
ACH-000055	Olaparib
ACH-000055	PFI3
ACH-000055	Sinularin
ACH-000055	Talazoparib
ACH-000055	Tretinoin
ACH-000055	WEHI-539
ACH-000243	CAY10566
ACH-000211	Amuvatinib
ACH-000211	Bexarotene
ACH-000211	CP724714
ACH-000211	SL0101
ACH-000211	Tipifarnib
ACH-000211	Tivozanib
ACH-000211	Veliparib
ACH-000244	AZD6094
ACH-000244	Fedratinib
ACH-000244	JNJ38877605
ACH-000244	Linifanib
ACH-000244	Nutlin-3a (-)
ACH-000244	OSI-930
ACH-000244	Quizartinib
ACH-000244	Staurosporine
ACH-000244	XMD14-99
ACH-000244	XMD15-27
ACH-000749	Afuresertib
ACH-000749	GSK690693
ACH-000749	Ipatasertib
ACH-000749	SB52334
ACH-000698	ABT737
ACH-000698	Amuvatinib
ACH-000698	Dihydrorotenone
ACH-000698	FH535
ACH-000698	LGK974
ACH-000698	Navitoclax
ACH-000698	TAF1_5496
ACH-000979	BPTES
ACH-000979	Motesanib
ACH-000979	TANK_1366
ACH-000979	VX-702
ACH-000979	Veliparib
ACH-000979	Vismodegib
ACH-000258	ABT737
ACH-000258	AS605240
ACH-000258	AZ628
ACH-000258	Ara-G
ACH-000258	CI-1040
ACH-000258	Dabrafenib
ACH-000258	ERK_2440
ACH-000258	ERK_6604
ACH-000258	Entinostat
ACH-000258	GSK1904529A
ACH-000258	KIN001-236
ACH-000258	LIMK1 inhibitor BMS4
ACH-000258	LJI308
ACH-000258	LY2109761
ACH-000258	Mitoxantrone
ACH-000258	Nutlin-3a (-)
ACH-000258	PD0325901
ACH-000258	PLX-4720
ACH-000258	Pevonedistat
ACH-000258	Phenformin
ACH-000258	Pilaralisib
ACH-000258	RAF_9304
ACH-000258	RO-3306
ACH-000258	RU-SKI 43
ACH-000258	Refametinib
ACH-000258	SB590885
ACH-000258	SCH772984
ACH-000258	SL0101
ACH-000258	SU11274
ACH-000258	Selumetinib
ACH-000258	Tozasertib
ACH-000258	Trametinib
ACH-000258	Ulixertinib
ACH-000258	VX-11e
ACH-000258	WEHI-539
ACH-000258	XMD14-99
ACH-000563	AZD3514
ACH-000563	AZD6094
ACH-000563	BPTES
ACH-000563	Bicalutamide
ACH-000563	Cabozantinib
ACH-000563	Crizotinib
ACH-000563	Foretinib
ACH-000563	JNJ38877605
ACH-000563	KU-60019
ACH-000563	PFI-3
ACH-000563	Savolitinib
ACH-000563	Tanespimycin
ACH-000563	WEHI-539
ACH-000563	rTRAIL
ACH-000560	Navitoclax
ACH-000560	PD173074
ACH-000560	UNC0642
ACH-000560	VX-702
ACH-000305	AZD3759
ACH-000305	AZD8931
ACH-000305	Acetalax
ACH-000305	Afatinib
ACH-000305	Erlotinib
ACH-000305	GSK591
ACH-000305	Ibrutinib
ACH-000305	Osimertinib
ACH-000305	Sapitinib
ACH-000117	A-83-01
ACH-000117	AS601245
ACH-000117	Bryostatin 1
ACH-000117	FH535
ACH-000117	FTI-277
ACH-000117	GSK650394
ACH-000117	IAP_5620
ACH-000117	JNK-9L
ACH-000117	LCL161
ACH-000117	PF-562271
ACH-000117	Pazopanib
ACH-000330	AKT inhibitor VIII
ACH-000330	AZD5582
ACH-000330	Acetalax
ACH-000330	GDC0810
ACH-000330	IAP_5620
ACH-000330	LCL161
ACH-000330	TL-2-105
ACH-000308	IAP_7638
ACH-000706	Bexarotene
ACH-000706	LFM-A13
ACH-000585	AZD1480
ACH-000585	AZD5582
ACH-000585	IAP_5620
ACH-000585	IAP_7638
ACH-000906	MCT4_1422
ACH-000906	Pyrimethamine
ACH-000906	RAF_9304
ACH-000906	Zibotentan
ACH-001065	AMG-319
ACH-001065	AZD5363
ACH-001065	AZD5582
ACH-001065	AZD6482
ACH-001065	AZD8186
ACH-001065	Acetalax
ACH-001065	Afuresertib
ACH-001065	Alectinib
ACH-001065	Cyclopamine
ACH-001065	Doramapimod
ACH-001065	GSK343
ACH-001065	Gallibiscoquinazole
ACH-001065	IAP_5620
ACH-001065	IAP_7638
ACH-001065	Ipatasertib
ACH-001065	JQ1
ACH-001065	KIN001-260
ACH-001065	LCL161
ACH-001065	MK-2206
ACH-001065	Uprosertib
ACH-000846	CCT007093
ACH-000846	Tanespimycin
ACH-000846	ZG-10
ACH-000903	Amuvatinib
ACH-000903	FTI-277
ACH-000903	IMD-0354
ACH-000903	Pilaralisib
ACH-000633	EHT-1864
ACH-000633	FGFR_0939
ACH-000633	Fulvestrant
ACH-000633	GDC0810
ACH-000633	Kobe2602
ACH-000633	Pazopanib
ACH-000633	Tanespimycin
ACH-000574	Cetuximab
ACH-000082	AZD4547
ACH-000082	Bicalutamide
ACH-000082	CCT007093
ACH-000082	CHIR-99021
ACH-000082	Midostaurin
ACH-000082	PD173074
ACH-000082	PF-562271
ACH-000082	Tretinoin
ACH-000572	Bexarotene
ACH-000572	Bryostatin 1
ACH-000572	Dabrafenib
ACH-000572	Refametinib
ACH-000098	GSK591
ACH-000098	SB52334
ACH-000098	Temsirolimus
ACH-000738	Dihydrorotenone
ACH-000738	HG6-64-1
ACH-000738	Selisistat
ACH-000738	TAF1_5496
ACH-000738	Zibotentan
ACH-000047	GSK1059615
ACH-000047	IMD-0354
ACH-000047	Pilaralisib
ACH-000047	Voxtalisib
ACH-000835	AT7867
ACH-000835	AZD5582
ACH-000835	Bleomycin (10 uM)
ACH-000835	Bleomycin (50 uM)
ACH-000835	CHIR-99021
ACH-000835	IAP_5620
ACH-000835	IAP_7638
ACH-000835	MetAP2 Inhibitor, A832234
ACH-000835	SL0101
ACH-000835	Vismodegib
ACH-000756	GSK429286A
ACH-000756	LFM-A13
ACH-000756	Pazopanib
ACH-000756	rTRAIL
ACH-000102	AZD5582
ACH-000102	IAP_5620
ACH-000102	IAP_7638
ACH-000102	LCL161
ACH-000102	LY2109761
ACH-000102	MCT4_1422
ACH-000389	Bryostatin 1
ACH-000389	Gallibiscoquinazole
ACH-000389	Lestaurtinib
ACH-000389	Nutlin-3a (-)
ACH-000389	Rapamycin
ACH-000389	Rucaparib
ACH-000389	Serdemetan
ACH-000389	Temsirolimus
ACH-000389	rTRAIL
ACH-000843	MK-8776
ACH-000111	AT7867
ACH-000111	AZD5991
ACH-000111	BAM7
ACH-000111	CCT007093
ACH-000111	Dihydrorotenone
ACH-000111	GSK1070916
ACH-000111	GW441756
ACH-000111	Kobe2602
ACH-000111	MN-64
ACH-000111	OF-1
ACH-000111	XAV939
ACH-000111	XMD13-2
ACH-000111	eEF2K Inhibitor, A-484954
ACH-000111	kb NB 142-70
ACH-000699	CHIR-99021
ACH-000699	FH535
ACH-000699	FTY-720
ACH-000699	LDN-193189
ACH-000277	AST-1306
ACH-000277	Acetalax
ACH-000277	CI-1033
ACH-000277	CP724714
ACH-000277	Cyclophosphamide
ACH-000277	LIMK1 inhibitor BMS4
ACH-000277	Motesanib
ACH-000277	PF-00299804
ACH-000349	ABT737
ACH-000349	Acetalax
ACH-000349	Kobe2602
ACH-000349	Navitoclax
ACH-000349	Venetoclax
ACH-000349	Venotoclax
ACH-000930	CHIR-99021
ACH-000930	TL-2-105
ACH-000196	AZD3514
ACH-000196	AZD8931
ACH-000196	Ara-G
ACH-000196	Entinostat
ACH-000196	FTY-720
ACH-000196	GSK1070916
ACH-000196	JAK1_3715
ACH-000196	MK-8776
ACH-000196	NPK76-II-72-1
ACH-000196	Pilaralisib
ACH-000196	SU11274
ACH-000196	TGX221
ACH-000878	CI-1040
ACH-000878	Refametinib
ACH-000878	rTRAIL
ACH-000624	LY2109761
ACH-000624	MK-8776
ACH-000624	NSC-87877
ACH-000624	Pemetrexed
ACH-000624	VE821
ACH-000624	rTRAIL
ACH-000859	AZD5991
ACH-000859	Acetalax
ACH-000859	CP724714
ACH-000859	Dihydrorotenone
ACH-000859	Gallibiscoquinazole
ACH-000859	MCT4_1422
ACH-000859	OF-1
ACH-000859	SL0101
ACH-000859	TAF1_5496
ACH-000859	Wnt-C59
ACH-000725	AST-1306
ACH-000725	LFM-A13
ACH-000725	PI3Ka_4409
ACH-000691	A-83-01
ACH-000691	AZD5363
ACH-000691	AZD8186
ACH-000691	Acetalax
ACH-000691	Afuresertib
ACH-000691	Capivasertib
ACH-000691	Ipatasertib
ACH-000691	Pictilisib
ACH-000691	Quizartinib
ACH-000691	Sphingosine Kinase 1 Inhibitor II
ACH-000691	TAF1_5496
ACH-000691	Tivozanib
ACH-000691	Vorinostat
ACH-000691	WEHI-539
ACH-000691	WIKI4
ACH-000691	WZ3105
ACH-000755	AST-1306
ACH-000755	Afatinib
ACH-000755	Amuvatinib
ACH-000755	BAM7
ACH-000755	CI-1033
ACH-000755	CP724714
ACH-000755	Lapatinib
ACH-000755	PF-00299804
ACH-000755	Pelitinib
ACH-000755	Phenformin
ACH-000755	VX-702
ACH-000667	BPD-00008900
ACH-000667	Bleomycin (10 uM)
ACH-000667	Bleomycin (50 uM)
ACH-000667	Enzastaurin
ACH-000667	IAP_7638
ACH-000667	Tanespimycin
ACH-000667	Zibotentan
ACH-000668	AKT inhibitor VIII
ACH-000668	AZD5582
ACH-000668	AZD8186
ACH-000668	Acetalax
ACH-000668	FR-180204
ACH-000668	IAP_5620
ACH-000668	IAP_7638
ACH-000562	Avagacestat
ACH-000562	HG-5-88-01
ACH-000562	Serdemetan
ACH-000012	AZD3759
ACH-000012	AZD8931
ACH-000012	Afatinib
ACH-000012	Bosutinib
ACH-000012	CI-1033
ACH-000012	Erlotinib
ACH-000012	Gefitinib
ACH-000012	Osimertinib
ACH-000012	PF-00299804
ACH-000012	Pelitinib
ACH-000012	TTK_3146
ACH-000971	BPD-00008900
ACH-000971	Bleomycin (10 uM)
ACH-000971	Bleomycin (50 uM)
ACH-000971	Ispinesib Mesylate
ACH-000971	JQ12
ACH-000971	OSI-930
ACH-000971	PHA-793887
ACH-000971	Pemetrexed
ACH-000971	RAF_9304
ACH-000971	Ulixertinib
ACH-000643	AZD3759
ACH-000643	Acetalax
ACH-000643	Dasatinib
ACH-000643	LJI308
ACH-000643	Osimertinib
ACH-000643	P22077
ACH-000643	Pictilisib
ACH-000643	WEHI-539
ACH-000625	ERK_2440
ACH-000625	ERK_6604
ACH-000625	FGFR_0939
ACH-000625	FGFR_3831
ACH-000625	GSK1059615
ACH-000625	HG6-64-1
ACH-000625	Kobe2602
ACH-000625	PFI3
ACH-000625	Pazopanib
ACH-000625	SCH772984
ACH-000847	AKT inhibitor VIII
ACH-000847	AZD5363
ACH-000847	AZD8186
ACH-000847	Afuresertib
ACH-000847	Alpelisib
ACH-000847	Buparlisib
ACH-000847	Capivasertib
ACH-000847	GSK650394
ACH-000847	Ipatasertib
ACH-000847	MK-2206
ACH-000847	Olaparib
ACH-000847	PARP_9482
ACH-000847	Pictilisib
ACH-000847	Rucaparib
ACH-000847	Taselisib
ACH-000847	Uprosertib
ACH-001089	GSK650394
ACH-001089	MCT1_6447
ACH-001089	NSC-207895
ACH-001089	Pazopanib
ACH-001090	Amuvatinib
ACH-001090	IAP_7638
ACH-001090	Phenformin
ACH-001090	SGC0946
ACH-000861	CHIR-99021
ACH-000861	FTI-277
ACH-000861	KIN001-042
ACH-000270	Avagacestat
ACH-000270	GW-2580
ACH-000270	LGK974
ACH-000270	TANK_1366
ACH-000094	JNK Inhibitor VIII
ACH-000094	LGK974
ACH-000148	AT7867
ACH-000148	BI-2536
ACH-000148	JQ1
ACH-000148	KIN001-042
ACH-000148	LIMK1 inhibitor BMS4
ACH-000148	NU7441
ACH-000148	Pilaralisib
ACH-000067	FGFR_0939
ACH-000616	AZD6094
ACH-000616	Amuvatinib
ACH-000616	CP724714
ACH-000616	Crizotinib
ACH-000616	Idelalisib
ACH-000616	JNJ38877605
ACH-000616	LCL161
ACH-000616	NSC-207895
ACH-000616	SU11274
ACH-000616	Savolitinib
ACH-000616	T0901317
ACH-000616	WIKI4
ACH-000472	Cetuximab
ACH-000472	FGFR_0939
ACH-000472	Taselisib
ACH-000778	AZD3514
ACH-000778	AZD5582
ACH-000778	AZD8931
ACH-000778	Bicalutamide
ACH-000778	Bleomycin (10 uM)
ACH-000778	Cetuximab
ACH-000778	IAP_5620
ACH-000778	IAP_7638
ACH-000778	Obatoclax Mesylate
ACH-000778	Staurosporine
ACH-000778	Tanespimycin
ACH-000546	AZD8931
ACH-000546	Bosutinib
ACH-000546	CCT007093
ACH-000546	CI-1040
ACH-000546	Cetuximab
ACH-000546	Dihydrorotenone
ACH-000546	GW441756
ACH-000546	IOX2
ACH-000546	Lenalidomide
ACH-000546	OF-1
ACH-000546	TAF1_5496
ACH-000546	Temsirolimus
ACH-000986	Acetalax
ACH-000986	Amuvatinib
ACH-000986	Cetuximab
ACH-000724	Amuvatinib
ACH-000322	(5Z)-7-Oxozeaenol
ACH-000322	AZ628
ACH-000322	CGP-082996
ACH-000322	Dabrafenib
ACH-000322	Etoposide
ACH-000322	PD0325901
ACH-000322	PLX-4720
ACH-000322	Refametinib
ACH-000322	SB590885
ACH-000322	SCH772984
ACH-000322	Trametinib
ACH-000322	VX-11e
ACH-000322	Voxtalisib
ACH-000552	ERK_6604
ACH-000926	BMS-754807
ACH-000926	Bryostatin 1
ACH-000926	CAY10566
ACH-000926	Linsitinib
ACH-000976	KIN001-042
ACH-000480	Amuvatinib
ACH-000480	Bryostatin 1
ACH-000480	Dihydrorotenone
ACH-000480	FGFR_0939
ACH-000480	LIMK1 inhibitor BMS4
ACH-000480	OF-1
ACH-000480	TAF1_5496
ACH-000672	FTI-277
ACH-000672	Tipifarnib
ACH-000882	AST-1306
ACH-000882	Avagacestat
ACH-000882	BIBF-1120
ACH-000882	Bryostatin 1
ACH-000882	CHIR-99021
ACH-000882	GSK1059615
ACH-000882	IOX2
ACH-000882	MetAP2 Inhibitor, A832234
ACH-000882	PF-00299804
ACH-000882	SB52334
ACH-000882	SU11274
ACH-000882	THZ-2-49
ACH-000650	(5Z)-7-Oxozeaenol
ACH-000650	CI-1040
ACH-000650	Dabrafenib
ACH-000650	ERK_2440
ACH-000650	ERK_6604
ACH-000650	PD0325901
ACH-000650	PLX-4720
ACH-000650	RAF_9304
ACH-000650	Refametinib
ACH-000650	SB52334
ACH-000650	SB590885
ACH-000650	Selisistat
ACH-000650	Selumetinib
ACH-000650	Trametinib
ACH-000966	AZD5363
ACH-000966	AZD8186
ACH-000966	Afuresertib
ACH-000966	Alpelisib
ACH-000966	Buparlisib
ACH-000966	Dasatinib
ACH-000966	Ibrutinib
ACH-000966	Ipatasertib
ACH-000966	MK-2206
ACH-000966	PAK_5339
ACH-000966	Pictilisib
ACH-000966	Taselisib
ACH-000966	Uprosertib
ACH-000919	A-83-01
ACH-000919	AKT inhibitor VIII
ACH-000919	AZD8835
ACH-000919	Crizotinib
ACH-000919	JNJ38877605
ACH-000915	CI-1040
ACH-000915	Lestaurtinib
ACH-000915	Refametinib
ACH-000569	AZD1332
ACH-000396	Mitomycin-C
ACH-000620	AKT inhibitor VIII
ACH-000620	AZD8931
ACH-000620	Acetalax
ACH-000620	Bexarotene
ACH-000620	CI-1040
ACH-000620	CP724714
ACH-000620	CUDC-101
ACH-000620	Cetuximab
ACH-000620	JQ12
ACH-000620	OF-1
ACH-000620	Panobinostat
ACH-000620	Pazopanib
ACH-000620	Pelitinib
ACH-000620	TAF1_5496
ACH-000620	ULK1_4989
ACH-000577	AZD8186
ACH-000577	IRAK4_4710
ACH-000577	NSC-207895
ACH-000577	NSC-87877
ACH-000577	Pilaralisib
ACH-000476	AKT inhibitor VIII
ACH-000476	AST-1306
ACH-000476	Avagacestat
ACH-000476	IC-87114
ACH-000476	KIN001-042
ACH-000476	KIN001-270
ACH-000476	Pazopanib
ACH-000476	Pilaralisib
ACH-000476	Staurosporine
ACH-000476	WIKI4
ACH-000476	rTRAIL
ACH-000217	FTI-277
ACH-000217	NSC-87877
ACH-000217	rTRAIL
ACH-000848	Dihydrorotenone
ACH-000848	FGFR_0939
ACH-000848	OF-1
ACH-000848	TAF1_5496
ACH-000132	IAP_7638
ACH-000132	NSC-207895
ACH-000132	TANK_1366
ACH-000584	Elesclomol
ACH-000584	GW441756
ACH-000584	IAP_7638
ACH-000231	TGX221
ACH-000793	AZD1332
ACH-000793	AZD1480
ACH-000793	AZD4547
ACH-000793	BIBF-1120
ACH-000793	Brivanib, BMS-540215
ACH-000793	Cediranib
ACH-000793	FGFR_3831
ACH-000793	JAK_8517
ACH-000793	LIMK1 inhibitor BMS4
ACH-000793	Motesanib
ACH-000793	PD173074
